항목,값
전체 감정 점수 평균,0.33353511375270983
전체 감정 점수 표준편차,0.1401797768177496
전체 감정 점수 분산,0.019650369828674085
전체 감정 강도 평균,0.5690053285968029
전체 감정 강도 표준편차,0.10365878198537702
전체 감정 강도 분산,0.010745143082691925
