topic,avg_sentiment_score,std_sentiment_score,avg_sentiment_intensity,std_sentiment_intensity
Politics,0.33804550572889075,0.13161319644077293,0.5638297872340425,0.10178240396674633
Economy,0.33369287225169225,0.14531105514493156,0.5654804270462633,0.10098019859550884
Society,0.3146435833389852,0.13821573760140393,0.5770318021201414,0.1051966532950138
International Relations,0.3479281224369492,0.14387032797293683,0.5696428571428571,0.10662573619463368
