statistic,vader_score,google_score,huggingface_score,sentiment_intensity_score
count,1126.0,1126.0,1126.0,1126.0
mean,0.4057509325044405,0.40759324915640943,0.04098720544184927,0.5690053285968029
median,0.5,0.44999999925494194,0.0019074678421020508,0.6
var,0.06544199048135187,0.017082291663626216,0.029558351239467078,0.010745143082691925
std,0.2558163217649567,0.13069924125114965,0.17192542348200593,0.10365878198537702
